CASE_NUMBER,DECISION_DATE,VISA_CLASS,CASE_RECEIVED_DATE,CASE_STATUS,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,PRIMARY/SUB,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,EMPLOYER_COUNTRY,EMPLOYER_PROVINCE,EMPLOYER_PHONE,EMPLOYER_PHONE_EXT,LAWFIRM_NAME,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,JOB_TITLE,SOC_CODE,SOC_TITLE,PRIMARY_CROP,NAICS_CODE,NBR_WORKERS_REQUESTED,NBR_WORKERS_CERTIFIED,FULL_TIME_POSITION,NATURE_OF_TEMPORARY_NEED,BASIC_NUMBER_OF_HOURS,HOURLY_WORK_SCHEDULE_AM,HOURLY_WORK_SCHEDULE_PM,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY,OVERTIME_RATE_FROM,OVERTIME_RATE_TO,OVERTIME_PAY_RANGE_UNIT,SUPERVISE_OTHER_EMP,SUPERVISE_HOW_MANY,EDUCATION_LEVEL,OTHER_EDU,MAJOR,SECOND_DIPLOMA,SECOND_DIPLOMA_MAJOR,TRAINING_REQ,NUM_MONTHS_TRAINING,NAME_REQD_TRAINING,EMP_EXPERIENCE_REQD,EMP_EXP_NUM_MONTHS,WORKSITE_CITY,WORKSITE_STATE,WORKSITE_POSTAL_CODE,OTHER_WORKSITE_LOCATION,ORGANIZATION_FLAG,SWA_NAME,JOB_IDNUMBER,JOB_START_DATE,JOB_END_DATE
H-300-16161-103212,2016-10-11,H-2A,2016-06-09,DETERMINATION ISSUED - CERTIFICATION,2016-08-10,2017-08-08,PRI,WESTERN RANGE ASSOCIATION,161 FIFTH AVENUE SOUTH,SUITE 100,TWIN FALLS,ID,83301,UNITED STATES OF AMERICA,,208-595-2226,104,,,,,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Sheep,,1,1,Y,Seasonal,40,12:00 AM,12:00 PM,"$1,646.00",Month,,,Month,N,,None,n/a,n/a,N,,N,,,Y,3,Westfall,OR,97920,Y,Association - Joint Employer (H-2A Only),Oregon State Workforce Agency,1617788,2016-06-16,2017-02-07
H-300-16173-279139,2017-03-03,H-2A,2017-02-16,DETERMINATION ISSUED - CERTIFICATION,2017-04-02,2018-01-18,PRI,Joel A. Salgado,611 Church St.,,Vidalia,GA,30474,UNITED STATES OF AMERICA,,912-537-4265,,"AGWORKS H2, LLC",PATRICIA HALL,LAKE PARK,GA,Farm Workers,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Sweet Potatoes,,295,295,Y,Seasonal,40,08:00 AM,04:00 PM,$10.62,Hour,,,Hour,N,,None,,,N,,N,,,Y,3,Lyons,GA,30436,Y,H-2A Labor Contractor or Job Contractor,Georgia Department of Labor,GA1029674152,2017-02-03,2017-08-26
H-300-16197-293800,2016-10-06,H-2A,2016-07-15,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2016-09-01,2016-12-06,PRI,Alewelt Concrete Inc.,18358 County Hwy D-20,,Alden,IA,50006,UNITED STATES OF AMERICA,,515-859-3223,,THE BERNARD FIRM P.L.C.,Aaron Bernard,Ames,IA,Farm Worker/Laborer,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Construction Livestock Buildings,,11,11,Y,Seasonal,45,07:30 AM,04:30 PM,$12.17,Hour,,,Hour,N,,None,,,N,,N,,,Y,1,Alerton,IA,50008,N,H-2A Labor Contractor or Job Contractor,Iowa Workforce development,5702455,2016-06-22,2016-10-19
H-300-16208-075191,2016-12-05,H-2A,2016-10-11,DETERMINATION ISSUED - CERTIFICATION,2017-01-01,2017-12-31,PRI,R & C SUPPLY LLC,908 West 1000 North,,Spanish Fork,UT,84660,UNITED STATES OF AMERICA,,801-367-2003,,PEAK SEASON LABOR INC.,DIANE THIBEAULT,LEWISTOWN,MT,Range Sheep Herder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Open Range Livestock,,1,1,Y,Seasonal,48,12:05 AM,11:55 PM,"$1,356.16",Month,,,Month,N,,None,,,N,,N,,,Y,6,Spanish Fork,UT,84660,Y,Individual Employer,Utah Dept. of Workforce Services,1145766,2016-10-13,2017-07-02
H-300-16210-439344,2017-01-17,H-2A,2016-07-28,DETERMINATION ISSUED - WITHDRAWN,2016-10-01,2017-09-29,PRI,Rocking X Ranch Ltd,"7100 Tin Top Hwy, Weatherford TX 76087","7517 Campbell Rd. Ste # 602, Dallas TX 75248",Weatherford,TX,76087,UNITED STATES OF AMERICA,,214-704-8388,,Mountain Plains Ag Service,SANDRA STUNTEBECK,Casper,WY,Goatherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Goats,,3,0,Y,Seasonal,60,12:00 AM,12:00 PM,"$1,206.31",Month,,,Month,N,,None,N/A,N/A,N,,N,,,Y,6,Weatherford,TX,76087,Y,Association - Filing as Agent (H-2A Only),TX State Workforce,TX8475881,2016-08-18,2017-03-31
H-300-16213-158506,2016-11-15,H-2A,2016-10-26,DETERMINATION ISSUED - CERTIFICATION,2016-12-15,2017-12-14,PRI,"LAZY 3X SHEEP COMPANY, LLC.",561 S Road,na,Mack,CO,81525,UNITED STATES OF AMERICA,na,970-858-3888,,HIGH COUNTRY AGRICULTURAL SERVICES,KANDANCE KROPINAK,CRAIG,CO,sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Sheep,424,2,2,Y,Seasonal,45,12:00 AM,11:55 PM,"$1,206.31",Month,,,Month,N,,None,na,na,N,,N,,,Y,3,Mack,CO,81525,N,Individual Employer,Colorado State Workforce Agency,6737877,2016-11-01,2017-06-05
H-300-16213-495908,2016-11-29,H-2A,2016-11-05,DETERMINATION ISSUED - CERTIFICATION,2017-01-01,2017-11-01,PRI,"LAZY 3X CATTLE, LLC.",561 S Road,NA,Mack,CO,81525,UNITED STATES OF AMERICA,na,970-858-3888,,HIGH COUNTRY AGRICULTURAL SERVICES,KANDANCE KROPINAK,CRAIG,CO,General Ranch Worker,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Livestock,423940,2,2,Y,Seasonal,48,08:00 AM,05:00 PM,$11.27,Hour,,,Hour,N,,None,na,na,N,,N,,,Y,6,Mack,CO,81525,N,Individual Employer,Colorado State Workforce Agency,CO6734330,2016-10-27,2017-06-01
H-300-16215-086907,2017-02-21,H-2A,2016-08-02,DETERMINATION ISSUED - WITHDRAWN,2016-10-01,2017-09-29,PRI,Avintaquin Livestock Corp.,"1366 West 5930 North, Oakley UT 84055","P O Box 715, Oakley UT 84055",Oakley,UT,84055,UNITED STATES OF AMERICA,,801-455-3959,,MPAS,Meyer Lisa,Casper,WY,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Open Range Livestock,,1,0,Y,Seasonal,60,12:00 AM,12:00 PM,"$1,206.31",Month,,,Month,N,,None,N/A,N/A,N,,N,,,Y,6,Oakley,UT,84055,Y,Association - Filing as Agent (H-2A Only),UT State Workforce,1094414,2016-08-02,2017-04-01
H-300-16221-070917,2016-11-21,H-2A,2016-09-26,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2016-12-02,2017-03-14,PRI,Jason & Lydia Towe Farm Partnership,2786 Nestlewood Dr,n/a,White Hall,AR,71602,UNITED STATES OF AMERICA,n/a,870-510-2437,,GOLDEN OPPORTUNITIES INT. LLC,HELEEN VAN TONDER,MC GREGOR,IA,Farm Machine Operator,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Corn,,4,4,Y,Seasonal,40,08:00 AM,05:00 PM,$10.69,Hour,,,Hour,N,,High School/GED,,,N,,N,,,Y,3,White Hall,AR,71602,N,Individual Employer,ARKANSAS DEPARTMENT OF WORKFORCE SERVICES,AR1784562,2016-09-26,2017-01-22
H-300-16221-535839,2016-11-01,H-2A,2016-10-06,DETERMINATION ISSUED - PARTIAL CERTIFICATION,2016-12-15,2017-10-15,PRI,Jessica Weldon,6699 23rd St NW,n/a,Raub,ND,58779,UNITED STATES OF AMERICA,n/a,701-743-4139,,GOLDEN OPPORTUNITIES INT. LLC,HELEEN VAN TONDER,MC GREGOR,IA,General Ranch Hand,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Cattle,,4,3,Y,Seasonal,40,08:00 AM,05:00 PM,$14.00,Hour,,,Hour,N,,None,,,N,,N,,,Y,3,Raub,ND,58779,N,Individual Employer,Job Service North Dakota,ND482166,2016-10-04,2017-05-16
H-300-16224-294713,2016-11-22,H-2A,2016-10-20,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2016-12-30,2017-03-31,PRI,"SARATOGA SOD FARM, INC.",1670 RT. 4,,STILLWATER,NY,12170,UNITED STATES OF AMERICA,,518-664-5038,,WHITEMAN OSTERMAN & HANNA LLP,LEONARD D'ARRIGO,ALBANY,NY,Winter Ag/Turf Equip Operator,45-2091,Agricultural Equipment Operators,Agricultural Equipment Operators,,1,1,Y,Seasonal,40,09:00 AM,05:00 PM,$11.74,Hour,,,Hour,N,,None,,,N,,N,,,Y,3,Stillwater,NY,12170,N,Individual Employer,New York State DOL,NY1187167,2016-10-20,2017-02-13
H-300-16224-968763,2016-10-05,H-2A,2016-08-11,DETERMINATION ISSUED - CERTIFICATION,2016-10-03,2017-06-02,PRI,Walter P Rawl and Sons Inc,824 Fairview Rd,,Pelion,SC,29123,UNITED STATES OF AMERICA,,803-894-1900,117,National Agricultural Consultants LLC,Theresa Ward,Carthage,NC,Farmworker: Diversified,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Vegetables,,22,22,Y,Seasonal,40,07:30 AM,03:30 PM,$10.70,Hour,,,Hour,N,,None,,,N,,N,,,Y,3,Bunnell,FL,32110,Y,Individual Employer,Florida Department of Economic Opportunity,10299343,2016-08-31,2017-02-01
H-300-16225-398019,2016-10-17,H-2A,2016-08-12,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2016-10-11,2016-12-30,PRI,"A. OSEGUERA COMPANY, INC.",1099 Rogge Road,,Salinas,CA,93906,UNITED STATES OF AMERICA,,831-443-4155,,Labor Consultants International,Ashley Wright,Coeur d'Alene,ID,Farm worker; Crop,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Lettuce,,90,90,Y,Seasonal,35,08:00 AM,12:00 PM,$11.89,Hour,,,Hour,N,,None,,,N,,N,,,Y,1,Salinas,CA,93907,Y,H-2A Labor Contractor or Job Contractor,California Employment Development Department,15011343,2016-09-14,2017-01-05
H-300-16225-977039,2016-10-03,H-2A,2016-08-12,DETERMINATION ISSUED - DENIED,2016-10-01,2017-07-30,PRI,"Queen Elizabeth Farm, Inc.",4422 E. North Ave.,,Fresno,CA,93725,UNITED STATES OF AMERICA,,559-351-0464,,Law Office of Kenneth H. Choi,Kenneth Choi,Los Angeles,CA,Farmworker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Chili Peppers,,10,0,Y,Seasonal,40,07:00 AM,03:00 PM,$11.89,Hour,17.84,,Hour,N,,None,,,N,,N,,,N,,Fresno,CA,93725,Y,Individual Employer,"California Labor and Workforce Agency, Employment Development Department",14964873,2016-08-10,2017-03-01
H-300-16227-452046,2016-10-14,H-2A,2016-08-14,DETERMINATION ISSUED - DENIED,2016-10-17,2017-07-15,PRI,"USA SPECIALTY SERVICES, CORP.",5837 JOHNSON STREET,,HOLLYWOOD,FL,33021,UNITED STATES OF AMERICA,,754-703-4814,,,,,,Vegetable Harvesters,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",Tomatoes,,300,0,Y,Seasonal,40,07:00 AM,05:30 PM,$8.05,Hour,12.02,,Hour,N,,None,,,N,,N,,,Y,0,Immokalee,FL,34142,N,H-2A Labor Contractor or Job Contractor,Employ Florida Market Place,10288311,2016-06-01,2016-10-15
H-300-16228-066350,2016-10-11,H-2A,2016-08-16,DETERMINATION ISSUED - DENIED,2016-09-05,2017-07-31,PRI,"WARMERDAM RIVER RANCH, LLC",5040 15 1/2 AVENUE,n/a,HANFORD,CA,93230,UNITED STATES OF AMERICA,,559-584-5890,,M&M Tax and Immigration,Jana Martinez,Hanford,CA,Ranch Foreman,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Walnuts,,1,0,Y,Seasonal,36,06:00 AM,03:00 PM,$11.89,Hour,,,Hour,N,,None,n/a,n/a,N,,N,,,Y,3,Hanford,CA,93230,N,Individual Employer,EDD,H-2A,2016-09-01,2017-04-05
H-300-16228-093204,2016-11-15,H-2A,2016-09-19,DETERMINATION ISSUED - CERTIFICATION,2016-12-14,2017-12-13,PRI,"Desert Sky Ranch, Inc.",1144 S 300 W,,Burley,ID,83318,UNITED STATES OF AMERICA,,208-431-4927,,"Peak Season Labor, Inc.",Diane Thibeault,Lewistown,MT,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Sheep,,5,5,Y,Peakload,60,12:05 AM,11:00 PM,"$1,206.31",Month,,,Month,N,,None,,,N,,N,,,Y,6,Rupert,ID,83350,Y,Individual Employer,Idaho Department of Labor,835773,2016-09-23,2017-06-14
H-300-16228-540219,2016-10-12,H-2A,2016-09-22,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2016-11-30,2017-04-01,PRI,"SOLIMAR EE, LLC",4500 E. HWY. 90,,NEW IBERIA,LA,70560,UNITED STATES OF AMERICA,,337-364-9276,,"Whiteman Osterman & Hanna, LLP",Leonard D'Arrigo,Albany,NY,Farm/Ranch Animal Caretaker,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Elk,,2,2,Y,Seasonal,40,09:00 AM,05:00 PM,$11.15,Hour,,,Hour,N,,None,,,N,,N,,,Y,3,Center,TX,75935,N,Individual Employer,Texas Workforce Commission,TX7142379,2016-09-20,2017-02-03
H-300-16230-369214,2016-10-11,H-2A,2016-09-19,DETERMINATION ISSUED - CERTIFICATION,2016-11-25,2017-09-15,PRI,Topp Land and Cattle,1255 82nd Ave NE,n/a,Grace City,ND,58445,UNITED STATES OF AMERICA,n/a,701-674-3119,,GOLDEN OPPORTUNITIES INT. LLC,HELEEN VAN TONDER,MC GREGOR,IA,Ranch Hand,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Cattle,,2,2,Y,Seasonal,48,08:00 AM,05:00 PM,$14.00,Hour,,,Hour,N,,None,,,N,,N,,,Y,3,Jamestown,ND,58401,N,Individual Employer,Job Service North Dakota,ND480347,2016-09-14,2017-04-21
H-300-16231-579277,2016-10-13,H-2A,2016-08-18,DETERMINATION ISSUED - CERTIFICATION,2016-11-01,2017-10-30,PRI,ACE LAND & LIVESTOCK,"25 South Country Lane, Fruit Heights UT 84037","25 South Country Lane, Fruit Heights UT 84037",Fruit Heights,UT,84037,UNITED STATES OF AMERICA,N/A,801-652-0402,,Mountain Plains Ag Service,Lisa Meyer,Casper,WY,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Sheep,,6,6,Y,Seasonal,60,12:00 AM,12:00 PM,"$1,206.31",Month,,,Month,N,,None,N/A,N/A,N,,N,,,Y,6,Fruit Heights,UT,84037,Y,Association - Filing as Agent (H-2A Only),UT State workforce,1107981,2016-08-22,2017-05-02
H-300-16232-181019,2016-10-07,H-2A,2016-08-22,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2016-09-15,2016-12-10,PRI,"OnSite Ag Services, Inc.",359 S. Commerce Avenue,,Sebring,FL,33870,UNITED STATES OF AMERICA,,863-382-7502,,LOW COUNTRY LABOR COMPANY,MICHAEL LALICH,Charleston,SC,Farmworker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Eggplant,,35,35,Y,Seasonal,40,07:00 AM,03:00 PM,$10.59,Hour,,,Hour,N,,None,,,N,,N,,,Y,3,Alcolu,SC,29001,N,H-2A Labor Contractor or Job Contractor,South Carolina Department of Employment & Workforce,679069,2016-08-22,2016-10-28
H-300-16232-229730,2016-10-06,H-2A,2016-09-12,DETERMINATION ISSUED - CERTIFICATION,2016-11-01,2017-06-01,PRI,Smith Cattle LLC,20951 201st St,n/a,Milesville,SD,57533,UNITED STATES OF AMERICA,n/a,605-544-3331,,GOLDEN OPPORTUNITIES INT. LLC,HELEEN VAN TONDER,MC GREGOR,IA,General Ranch Hand,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Cattle,,1,1,Y,Seasonal,40,08:00 AM,05:00 PM,$13.80,Hour,,,Hour,N,,High School/GED,,,N,,N,,,Y,3,Milesville,SD,57553,N,Individual Employer,South Dakota Department of Labor and Regulation,SD1760740,2016-09-06,2017-02-15
H-300-16232-747285,2016-10-06,H-2A,2016-08-22,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2016-10-02,2016-12-10,PRI,"ONSITE AG SERVICES, INC.",359 S. Commerce Avenue,,Sebring,FL,33870,UNITED STATES OF AMERICA,,863-382-7502,,LOW COUNTRY LABOR COMPANY,MICHAEL LALICH,Charleston,SC,Farmworker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Broccoli,,215,215,Y,Seasonal,40,07:00 AM,03:00 PM,$10.59,Hour,,,Hour,N,,None,,,N,,N,,,Y,3,Johnston,SC,29129,Y,H-2A Labor Contractor or Job Contractor,SC Department of Employment and Workforce,850976,2016-08-22,2016-10-28
H-300-16236-013032,2016-11-09,H-2A,2016-09-23,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2016-12-13,2017-03-01,PRI,"DEBUCK'S SOD FARM OF NY, INC.",120 DEBUCK'S DRIVE,,PINE ISLAND,NY,10969,UNITED STATES OF AMERICA,,845-258-4131,,WHITEMAN OSTERMAN and  HANNA LLP,LEONARD D'ARRIGO,ALBANY,NY,Ag/Turf Equip Operator/Winter,45-2091.00,Agricultural Equipment Operators,Agricultural Equipment Operators,,1,1,Y,Seasonal,60,07:00 AM,05:00 PM,$11.74,Hour,,,Hour,N,,None,,,N,,N,,,Y,3,Pine Island,NY,10969,Y,Individual Employer,New York State DOL,NY1184735,2016-09-23,2017-01-15
H-300-16236-568414,2016-11-29,H-2A,2016-09-23,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2016-11-30,2017-03-31,PRI,"MAMMOSER FARMS, INC.",3940 HARDT ROAD,,EDEN,NY,14057,UNITED STATES OF AMERICA,,716-992-2457,,WHITEMAN OSTERMAN & HANNA LLP,Leonard D'Arrigo,ALBANY,NY,Grounds/Maintenance Worker,45-2091,Agricultural Equipment Operators,Agricultural Equipment Operators,,10,10,Y,Seasonal,60,07:30 AM,05:30 PM,$11.74,Hour,,,Hour,N,,None,,,N,,N,,,Y,3,Eden,NY,14057,Y,Individual Employer,New York State DOL,NY1184699,2016-09-22,2017-01-26
